0,1,2,3,L0,L1,L2,L3
0.979815194,0.072348352,0.370730854,0.451657217,0,0,0,0
0.671926392,0.373451657,0.939723614,0.552494553,0,0,1,0
0.884827701,0.946223002,0.291226176,0.847255693,0,0,0,0
0.573723329,0.833598407,0.332506842,0.248277522,0,0,0,0
0.472726482,0.042629304,0.271427384,0.694326883,0,0,0,0
0.540326339,0.29765909,0.471055581,0.562870969,0,0,0,0
0.580119762,0.641330946,0.910459682,0.247778605,0,0,1,0
0.19418503,0.528809694,0.869122161,0.066658203,0,0,1,0
0.689419321,0.48188948,0.98174776,0.034724002,0,0,1,0
0.473593339,0.369683423,0.184420528,0.322726159,0,0,0,0
0.124117731,0.965128885,0.607146375,0.893398869,0,0,1,0
0.323682087,0.395738138,0.588271515,0.839427064,0,0,1,0
0.99048252,0.777900736,0.178899564,0.031231304,0,0,0,0
0.929032645,0.632710258,0.410544417,0.67115442,0,0,0,0
0.723223931,0.440531041,0.61626797,0.666784136,0,0,1,0
0.853337048,0.529234001,0.845005012,0.571180437,0,0,1,0
0.587760341,0.266935203,0.952614635,0.387909413,0,0,1,0
0.746163018,0.993316489,0.048516331,0.484182406,0,0,0,0
0.276355705,0.492647114,0.726968291,0.99582221,0,0,1,0
0.116056966,0.120506235,0.136830862,0.257303447,0,0,0,0
0.845405071,0.044021668,0.302916738,0.821148375,0,0,0,0
0.920962164,0.88816631,0.525844695,0.384004675,0,0,1,0
0.466489422,0.014339688,0.554280072,0.910432732,0,0,1,0
0.896461023,0.526478534,0.387637128,0.26208634,0,0,0,0
0.704075552,0.598132882,0.47889175,0.09341785,0,0,0,0
0.331205161,0.971944327,0.518963374,0.99608416,0,0,1,0
0.635584262,0.186162501,0.039363127,0.509785298,0,0,0,0
0.663817377,0.088232959,0.136919972,0.016948979,0,0,0,0
0.747278774,0.186358855,0.381012789,0.760345263,0,0,0,0
0.789592621,0.569465132,0.187549196,0.294936831,0,0,0,0
0.859920312,0.27371162,0.011782583,0.3061012,0,0,0,0
0.295289652,0.757112589,0.960806682,0.024738187,0,0,1,0
0.806128778,0.910737027,0.15526636,0.561766333,0,0,0,0
0.298132885,0.310817014,0.113682222,0.090904867,0,0,0,0
0.031017077,0.972475615,0.66437962,0.903851515,0,0,1,0
0.065030748,0.218577998,0.42574084,0.732666002,0,0,0,0
0.260101034,0.543267698,0.092860048,0.026841889,0,0,0,0
0.733214647,0.277186068,0.184676313,0.59946235,0,0,0,0
0.759378615,0.318670627,0.251444373,0.462705374,0,0,0,0
0.716945892,0.765517457,0.361126146,0.025199735,0,0,0,0
0.284943248,0.541702462,0.417341497,0.186653275,0,0,0,0
0.152853139,0.739084739,0.106108447,0.962546469,0,0,0,0
0.990797218,0.399630463,0.659830488,0.05358461,0,0,1,0
0.594136113,0.158952134,0.882443212,0.281914855,0,0,1,0
0.067676652,0.881768342,0.55985189,0.020802299,0,0,1,0
0.066387399,0.0435993,0.035949322,0.895818667,0,0,0,0
0.664760975,0.250369409,0.013617581,0.580178793,0,0,0,0
0.394587228,0.972837141,0.951590753,0.678954487,0,0,1,0
0.305726322,0.861253407,0.445196777,0.888226733,0,0,0,0
0.358736848,0.120943377,0.977491452,0.960247312,0,0,1,0
0.554701509,0.335331506,0.683159559,0.407085741,0,0,1,0
0.585114879,0.213717334,0.07517176,0.295157163,0,0,0,0
0.694700483,0.750231971,0.064202964,0.437739883,0,0,0,0
0.128612218,0.672273959,0.0911082,0.933629263,0,0,0,0
0.094471717,0.918947837,0.282624559,0.215016491,0,0,0,0
0.454683584,0.417908432,0.168638997,0.69100424,0,0,0,0
0.761555853,0.247987542,0.937223868,0.012943632,0,0,1,0
0.277899146,0.774657121,0.972213989,0.319488713,0,0,1,0
0.216203117,0.651243695,0.514070724,0.067996075,0,0,1,0
0.694984093,0.645147906,0.546369909,0.653154181,0,0,1,0
0.336000558,0.560155331,0.011837846,0.74893177,0,0,0,0
0.268743947,0.607416341,0.277311725,0.676238519,0,0,0,0
0.659094193,0.766296576,0.244210348,0.420839323,0,0,0,0
0.808636879,0.90320995,0.085418813,0.461167924,0,0,0,0
0.998861659,0.432909696,0.314513162,0.748144475,0,0,0,0
0.791176402,0.459303856,0.70014681,0.805126986,0,0,1,0
0.734491654,0.639436014,0.58812491,0.726633923,0,0,1,0
